class,s1,prob1,frame1,s2,prob2,frame2,s3,prob3,frame3,s4,prob4,frame4,s5,prob5,frame5,s6,prob6,frame6,s7,prob7,frame7,s8,prob8,frame8
member,dh ae cl s y er hh ae dx ey cl,0.763934,117,dh ix s ix z cl p ix cl t ih cl k y uw l iy cl t r uw w ix n s ay s el eh cl sh,0.812288,248,ah l oy y er w ax z ax cl p oy n ih vcl t uw eh cl s ix cl k y uw hh er w ih,0.879269,272,w iy s ao ey cl t ay n iy ay s ix cl k el z vcl b el l ow w aa r uw,0.924328,287,dh ix cl t aa vcl d l er f aa m ix cl k l ae m sh eh l n ih er dh ix cl k ae m cl s ay,0.818566,287,k w aa cl p er ey sh en ax l ao ng w ax dh ah n dh ix s cl t ae n ix ng dh ax l iy v iy ey cl d ih s cl p y uw,0.864554,344,dh ax hh ao n ix vcl d hh aw s epi w ax z ix hh ih cl d uw dx uw aw s cl t ae n ix ng ao dx ix y ow v ih zh uw w el ax f eh cl k,0.844181,380,k ix n s iy v ax vcl b l iy dh ix s ah vcl m er r iy n vcl d ix f eh n s cl p r aa vcl b l ax m cl k eh n iy s ao vcl b ay s ix f ih sh ix n f ao r s ix,0.792428,436
member,w iy vcl d ow n ow dh ih s vcl g,0.880546,130,s f ih er cl k el vcl g ih f s er vcl d ih f ax cl k el cl t er r ae cl,0.886806,251,jh ao r vcl jh s eh l vcl d ax m w aa vcl jh ix z vcl d ey cl t ay m uw v ix,0.819944,254,dh iy z aa l w ih z cl k ix n cl t ey m ix cl t ae l ix cl k ix ng cl k l ow zh ix n,0.854532,283,dh ix vcl jh ao aa cl p er ey cl t s vcl b ay y uw z ix ng ae n cl t ae vcl ix n ih s cl t ix cl m ah s el,0.89599,319,sh iy ih ng cl k er ix vcl jh cl t er cl ch ih l vcl ax n cl t m ey cl dh er ow n hh ae l ax w ix ng cl k aa s cl t uw m,0.821458,326,f l ay ix ng s cl t ae m vcl b ay cl k ae n vcl b iy cl p r ae cl t ix cl k ax l ax f y uw w ah n ax s ey v m ah n,0.809123,340,dh ax s ay cl m ey aa l s ah vcl b iy ix cl t r ae cl t ix v vcl jh ih s th r uw dh ix vcl b y uw dx iy ix v ix cl s cl t r iy z en sh r ah vcl b,0.856061,441
member,ix n iy th ih ng r ao ng cl k ae cl,0.978424,140,dh ix z cl k r iy ow cl k uh cl k iy ng y uw z cl k er,0.956852,196,p r ih m ix cl t ih v cl t r ay vcl z hh ae v ix n ah cl b iy cl ae dx ix cl t uw vcl,0.84034,265,f er s cl t ae vcl m ih l cl t ax dh ix sh r eh dx ix cl ch iy,0.864007,270,dh ix hh y uw m er v dh ix s ih cl ch uw w ey sh ix n cl k eh n vcl b iy ix m ae vcl jh ix n,0.872338,275,d r ao eh v r iy aw dx er l ay n f er s cl sil dh ih n f ih l ih n dh iy ix n cl t ih r ih,0.903136,338,dh ix m oy s cl ch er ix n m ay ay z ix z f er m sil ay vcl d r aa cl s epi n aa cl f r m cl t iy er,0.902303,367,f ao r dx iy s eh v ix n s cl t ey cl t s ix s ay n ao r cl p er v ay vcl d f iy hh ih cl k el z f er ix m cl p l oy iy z ax n s cl t ey cl b ih z n ix,0.90633,516
member,n ah n sh uh dx ae s cl k l eh,0.823769,143,w ay hh iy z vcl g oy ng vcl d ix cl k ih l m iy hh ih th ao w aa l vcl d l,0.798393,234,b ih vcl b el cl k el s cl k aa l er z aa r vcl g y uw hh ih s cl t r,0.842296,236,dh ax vcl b l ih s ix vcl d iy ae n ow r ay eh vcl d iy vcl g ow hh ae n vcl d ix n hh ae,0.829922,246,y ao l w iy z cl k ah m ah cl w ix cl p ae th ax l aa vcl jh cl k el ix vcl g z ae m cl p el,0.753222,303,m ao r ao f cl t ix n iy z ao f ax s ix z er r iy sh cl t r ih cl t ax cl t ix dh ix vcl g ae dh er ix ng ix v en cl p ih r ix cl k el vcl d ey dx,0.818768,372,dh ow z ae n s er z w el vcl b iy s cl t r ey cl f ao r dx ix f y uw th ih ng cl k dh ix m th r uw cl k eh r f l iy f er s cl,0.786817,400,w ih l s er v r uw vcl b aa r vcl p ay ae f cl t er r ey cl ch el z cl t ao cl,0.760429,450
member,jh ay r eh cl k aa m cl p ix z hh eh dx ih,0.787289,146,b ah cl w ay cl p ey hh er vcl b ih l,0.972457,178,w iy aa r ow cl p ix n eh v r iy m ah n vcl d ey iy v n ix,0.815915,196,k en f ae vcl b ix l ey sh ix n hh ae z cl k ah m cl t ix vcl d ix cl t er m ix n s cl t r ah cl ch,0.824838,268,b ae vcl p ay cl p s ix n vcl b aa n vcl g ow z aa r m y uw z ix cl k ax l ih n jh cl t er m ih n cl t,0.798038,292,ix n cl p l oy iy l ey ao f s cl k ow ix n s ay dx ix vcl w ix dh iy cl k ah m cl p ix n iy z r iy ow vcl b ix n ix z ey sh ix,0.83681,360,dh ix y uw z ix n ih vcl g r eh s ix v cl p l iy s epi m ih ng cl t ax f l ae vcl g th ao l ix s epi m ow dx er ix s cl,0.83544,377,dh ix cl p ey sh ix n cl t ix n ih s er vcl jh ix n ah vcl b ow th r ix cl k uw cl p er ey dx ix ng f er m dh ax l ah n cl k l iy aa cl p er ey sh ix,0.859183,386
member,hh aw dx ix dh ey cl t er n aw l ey dx,0.891168,146,dh ah th ih ng cl k er ix z ax f ey m ix s cl k ah l cl ch,0.881088,209,aa r hh aa l eh dx ey ey cl p r ix n z ix v ey l ax vcl b el cl t uw ah,0.834676,221,ao m ow s ao cl k aa l ix vcl jh ix z er n aw cl k oy vcl jh ix cl k ey sh en,0.864099,255,hh ay ix s uw m oy s cl ch er w el vcl d ae m ix vcl jh dh ih s sh ih cl p s hh ao,0.861057,266,r oy ih vcl n ao r vcl d ix s cl p er iy ix s cl t ey dx ix cl p oy n cl s ix n vcl d r ay ng dh ix vcl g r ae,0.862887,321,ao l dh ow m ay sh aa cl k ih l dx ih z hh ao r s hh iy r ow l ao f dh ax vcl b ey l ay n cl t aa cl p ax v m,0.855463,366,y uw n ih cl p r ay s ix z f er s cl t ey vcl v iy ih cl k el z aa r ix n v eh r ix vcl b l iy l ow er dh eh n cl t ix dh ix vcl jh eh n r el cl p ah vcl b l ix cl,0.851013,438
member,m iy hh iy s eh vcl m eh r ax l,0.91214,151,ae v vcl g aa cl t uw vcl b ey dh epi m aa f iy,0.79805,169,s f ih er cl k el vcl g ih f s er vcl d ih f cl k ah l cl t uw r ae,0.863464,282,jh ao r s eh l vcl d ah m w aa cl ch ih z vcl d ey cl t aa m uw v iy,0.905513,294,f l ay ng s cl t ae m vcl b aa cl k ix n vcl b iy cl p r ae cl t cl k el ix f y uw w aa cl t ix s ey v m ah n,0.907991,351,dh ix vcl jh aw aa cl p er ey cl s vcl b ay y uw z ih ng ix eh n cl t ae vcl g ix n ih s cl t ix cl m ah s epi el,0.915844,375,sh iy ih ng cl k er ix vcl jh cl ch er cl ch ih l vcl d r ih n cl t uw m ey cl dh eh r ow n hh ae l w ix ng cl k aa s cl t uw m,0.903481,402,dh ih s epi m eh l ix s eh cl sh uw el sil dh eh cl s eh cl p aw er f l iy s ow sil dh eh dx ih s ih v ax l ay z epi n ow z epi m ah s cl t ix n ay,0.934394,595
member,f er vcl g eh w iy eh v er n uw w ah,0.851538,152,m ih l cl k ax cl p ih er s cl t w ay s ix vcl d,0.893211,175,b iy cl k eh r f el n aa cl t ix cl p l aw ow v er dh ax f l aw er vcl b eh vcl,0.816256,240,dh ix m ih s cl p r ih n cl p er v ow cl t ix n ix m iy dx iy ix cl d ix s cl k l ey m,0.842117,254,dh ix s cl p iy cl ch s ix m cl p ow z iy ix m ay cl b iy vcl g ih n m ah n vcl d,0.88497,255,r ih cl ch l uh cl t f er s cl p aa dx ix vcl hh ay iy n ix z ix n vcl jh ae vcl g w er z aa n ax s ax f aa r,0.822777,310,dh ah th ih cl k eh l m f ao r s cl t w ax z n ih er l iy ow f er w eh l m th vcl b ay cl t ah cl ch eh l m cl t ix z iy,0.789028,353,ax v cl p ix cl t ih cl k ih l er m cl p ao r en s sil ix s dh ix s cl t ah dx iy ix v dh iy ae cl k sh en z ax v vcl d r ah vcl z ih n ih s epi r ax s cl p eh cl,0.838324,501
member,dh ey w er cl p er s uw ih ng hh eh,0.911432,155,y eh s epi m ae m ix cl sh er w ah,0.942316,179,d uw ey cl t ih cl p ix cl k el f aa r m er z vcl g r ow ow cl t,0.945447,246,ix cl t aa r vcl jh ix cl t eh l ax n er r ih vcl jh en el f er m ax f ao r vcl jh er,0.880043,279,w iy cl k uh vcl b eh er l iy s iy dh ax f iy ao r vcl s epi r uw dh ax s epi n ow f l er iy,0.858463,315,dh ax s ih s cl t ax m ey vcl b r ey cl d aw n s uw n s ax s ey v y er f ay l z f r iy cl k w ax n cl l,0.90393,359,r ae l f cl p r iy cl p eh er vcl d r eh vcl s epi n ae cl p er w ix th f r eh sh l eh m ix n s ao s f er vcl d ih n,0.914785,376,hh ix z l eh vcl g z cl p ah m cl t f y er iy ix s epi l iy sil hh ix z l ao ng vcl b l ae cl k hh eh er s cl t r iy n vcl d aw cl b iy hh ay n vcl d ix,0.926051,470
member,d y uw hh ae v dh iy eh l ow oy m ix n r eh dx,0.799917,159,p aw dx er f l ey m vcl g ah sh cl p ix n iy th ax w ae vcl ix,0.82031,194,ix cl s ix n cl p aa s ax v el cl t ax vcl d iy l w ix th vcl b y er aa cl k er s,0.736847,205,w ay l ae s er ey cl t ix cl k aa n er vcl g ey sh ix,0.812064,209,n aa dx ix cl k ao r n er ix z vcl b ix n vcl d ih z ix vcl b l iy cl k ah cl ih n ix s w ah,0.823012,254,d ow n l uh cl f er vcl g r uw vcl v ae l y ix vcl el z ix n ix n vcl b ae ng cl k f ao l,0.715509,270,dh n uw s ix vcl b er v ix n ay cl s epi w er cl t aa r dx ix n r ix f er vcl b ix sh ix ng dh eh r ow l vcl d er hh ow,0.854544,296,dh ax vcl d ay vcl n ow z ix s w ax z vcl d ix s cl k er er vcl jh ix ng sil hh aw ah v r uw z n aa dx ow v er dx iy w er ix,0.793514,322
